sma	nob	swe	mp3	img
baernie	gutt	pojke	/static/audio/heelsedh/ED/baernie.mp3,/static/audio/heelsedh/AD/baernie.mp3,/static/audio/heelsedh/KB/baernie.mp3	/static/image/heelsedh/small/baernie.jpg
buarastehtedh	å håndhilse	att handhälsa	/static/audio/heelsedh/ED/buarastehtedh.mp3,/static/audio/heelsedh/AD/buarastehtedh.mp3,/static/audio/heelsedh/KB/buarastehtedh.mp3	/static/image/heelsedh/small/buarastehtedh.jpg
buaregh	god dag, sies ved å håndhilse	god dag	/static/audio/heelsedh/ED/buaregh.mp3,/static/audio/heelsedh/AD/buaregh.mp3,/static/audio/heelsedh/KB/buaregh.mp3	/static/image/heelsedh/small/buaregh.jpg,buaregh.2.jpg
buerie aerede	god morgen	god morgon	/static/audio/heelsedh/ED/buerie_aerede.mp3,/static/audio/heelsedh/AD/buerie_aerede.mp3,/static/audio/heelsedh/KB/buerie_aerede.mp3	/static/image/heelsedh/small/buerie_aerede.jpg
buerie biejjie	god dag	god dag	/static/audio/heelsedh/ED/buerie_biejjie.mp3,/static/audio/heelsedh/AD/buerie_biejjie.mp3,/static/audio/heelsedh/KB/buerie_biejjie.mp3	/static/image/heelsedh/small/buerie_biejjie.jpg
buerie iehkede	god kveld	god kväll	/static/audio/heelsedh/ED/buerie_iehkede.mp3,/static/audio/heelsedh/AD/buerie_iehkede.mp3,/static/audio/heelsedh/KB/buerie_iehkede.mp3	/static/image/heelsedh/small/buerie_iehkede.jpg
buerie jïjje	god natt	god natt	/static/audio/heelsedh/ED/buerie_jïjje.mp3,/static/audio/heelsedh/AD/buerie_jïjje.mp3,/static/audio/heelsedh/KB/buerie_jïjje.mp3	/static/image/heelsedh/small/buerie_jïjje.jpg
datne	du	du	/static/audio/heelsedh/ED/datne.mp3,/static/audio/heelsedh/AD/datne.mp3,/static/audio/heelsedh/KB/datne.mp3	/static/image/heelsedh/small/datne.jpg
dïhte	han, hun, den, det	hon, han, den, det	/static/audio/heelsedh/ED/dïhte.mp3,/static/audio/heelsedh/AD/dïhte.mp3,/static/audio/heelsedh/KB/dïhte.mp3	/static/image/heelsedh/small/dïhte.jpg
maana	unge	barn	/static/audio/heelsedh/ED/maana.mp3,/static/audio/heelsedh/AD/maana.mp3,/static/audio/heelsedh/KB/maana.mp3	/static/image/heelsedh/small/maana.jpg
manne	jeg	jag	/static/audio/heelsedh/ED/manne.mp3,/static/audio/heelsedh/AD/manne.mp3	/static/image/heelsedh/small/manne.jpg
nyjsenæjja	dame	kvinna	/static/audio/heelsedh/ED/nyjsenæjja.mp3,/static/audio/heelsedh/AD/nyjsenæjja.mp3,/static/audio/heelsedh/KB/nyjsenæjja.mp3	/static/image/heelsedh/small/nyjsenæjja.jpg
nåå nåå!	ha det!	hej då	/static/audio/heelsedh/ED/nåå_nåå.mp3,/static/audio/heelsedh/AD/nåå_nåå.mp3,/static/audio/heelsedh/KB/nåå_nåå.mp3	/static/image/heelsedh/small/nåå_nåå.jpg
nïejte	jente	flicka	/static/audio/heelsedh/ED/nïejte.mp3,/static/audio/heelsedh/AD/nïejte.mp3,/static/audio/heelsedh/KB/nïejte.mp3	/static/image/heelsedh/small/nïejte.jpg
ålma	mann	man	/static/audio/heelsedh/ED/ålma.mp3,/static/audio/heelsedh/AD/ålma.mp3,/static/audio/heelsedh/KB/ålma.mp3	/static/image/heelsedh/small/ålma.jpg
