sma	nob	swe	mp3	img
Im guarkah	Jeg forstår ikke	Jag förstår inte	ED/im_guarkah.mp3,AD/im_guarkah.mp3,KB/im_guarkah.mp3	im_guarkah.jpg
Im govlh	Jeg hører ikke	Jag hör inte	ED/im_govlh.mp3,AD/im_govlh.mp3,KB/im_govlh.mp3	im_govlh.jpg
Im vuejnieh	Jeg ser ikke	Jag ser inte	ED/im_vuejnieh.mp3,AD/im_vuejnieh.mp3,KB/im_vuejnieh.mp3	im_vuejnieh.jpg
Gïerth mannem	Unnskyld meg	Ursäkta mig	ED/g_ii_erth_mannem.mp3,AD/g_ii_erth_mannem.mp3,KB/g_ii_erth_mannem.mp3	g_ii_erth_mannem.jpg
Jaavoe	Ja	Ja	ED/jaavoe.mp3,AD/jaavoe.mp3,KB/jaavoe.mp3	jaavoe.jpg
Ijje	Nei	Nej	ED/ijje.mp3,AD/ijje.mp3,KB/ijje.mp3	ijje.jpg
Im daejrieh	Jeg vet ikke	Jag vet inte	ED/im_daejrieh.mp3,AD/im_daejrieh.mp3,KB/im_daejrieh.mp3	im_daejrieh.jpg
Garrah	Venstre	vänster	ED/garrah.mp3,AD/garrah.mp3,KB/garrah.mp3	garrah.jpg
Åelkies	Høyre	Höger	ED/aa_elkies.mp3,AD/aa_elkies.mp3,KB/aa_elkies.mp3	aa_elkies.jpg
Buerie aerede	God morgen	God morgon	ED/buerie_aerede.mp3,AD/buerie_aerede.mp3,KB/buerie_aerede.mp3	buerie_aerede.jpg
Buerie biejjie	God dag	God dag	ED/buerie_biejjie.mp3,AD/buerie_biejjie.mp3,KB/buerie_biejjie.mp3	buerie_biejjie.jpg
Buerie iehkede	God kveld	God kväll	ED/buerie_iehkede.mp3,AD/buerie_iehkede.mp3,KB/buerie_iehkede.mp3	buerie_iehkede.jpg
Buerie jïjje	God natt	God natt	ED,AD,KB	
Guktie datnine?	Hvordan er det med deg?	Hur är det med dig?	ED/guktie_datnine.mp3,AD/guktie_datnine.mp3,KB/guktie_datnine.mp3	guktie_datnine.jpg
Mannine hijven	Med meg er det bra	Med mig är det bra	ED/mannine_hijven.mp3,AD/mannine_hijven.mp3,KB/mannine_hijven.mp3	mannine_hijven.jpg
Mannine nåekies	Med meg er det dårlig	Med mig är det dåligt	ED/mannine_n_aa_ekies.mp3,AD/mannine_n_aa_ekies.mp3,KB/mannine_n_aa_ekies.mp3	mannine_n_aa_ekies.jpg
Maam sïjhth jovkedh?	Hva vil du ha å drikke?	Vad vil du dricka?	ED,AD,KB	
Maam sïjhth byöpmedidh?	Hva vil du ha å spise?	Vad vil du äta?	ED/maam_s_ii_jhth_by_oe_pmedidh.mp3,AD/maam_s_ii_jhth_by_oe_pmedidh.mp3,KB/maam_s_ii_jhth_by_oe_pmedidh.mp3	maam_s_ii_jhth_by_oe_pmedidh.jpg
Bööresth!	Skål!	Skål!	ED/b_oe_oeresth.mp3,AD/b_oe_oeresth.mp3,KB/b_oe_oeresth.mp3	b_oe_oeresth.jpg
Åadtjoem reeknegem?	Kan jeg få regningen?	Kan jag få räkningen?	ED/aa_adtjoem_reeknegem.mp3,AD/aa_adtjoem_reeknegem.mp3,KB/aa_adtjoem_reeknegem.mp3	aa_adtjoem_reeknegem.jpg
